"Six Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
112210 - Hog and pig farming,1987,,,,,,,,,,,,,,,396.487,,,,,,407.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.743,,215.000,
112210 - Hog and pig farming,1988,,,,,,,,,,,,,,,377.160,-4.9,,,,,387.928,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.374,-3.8,206.900,-3.8
112210 - Hog and pig farming,1989,,,,,,,,,,,,,,,363.256,-3.7,,,,,373.627,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.357,-4.7,197.100,-4.7
112210 - Hog and pig farming,1990,,,,,,,,,,,,,,,342.161,-5.8,,,,,351.930,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.126,-5.0,187.200,-5.0
112210 - Hog and pig farming,1991,,,,,,,,,,,,,,,332.848,-2.7,,,,,342.352,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.744,-4.4,179.100,-4.3
112210 - Hog and pig farming,1992,,,,,,,,,,,,,,,313.937,-5.7,,,,,322.901,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.897,-4.7,170.600,-4.7
112210 - Hog and pig farming,1993,,,,,,,,,,,,,,,291.549,-7.1,,,,,299.874,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.287,-7.0,158.700,-7.0
112210 - Hog and pig farming,1994,,,,,,,,,,,,,,,259.527,-11.0,,,,,266.937,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.660,-7.5,146.700,-7.6
112210 - Hog and pig farming,1995,,,,,,,,,,,,,,,248.757,-4.1,,,,,255.860,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.087,-4.8,139.700,-4.8
112210 - Hog and pig farming,1996,,,,,,,,,,,,,,,221.479,-11.0,,,,,227.803,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.757,-9.3,126.700,-9.3
